iter	Passed	Remaining
868	2061	310
869	2062	308
870	2065	305
871	2067	303
872	2068	300
873	2070	298
874	2071	295
875	2073	293
876	2074	291
877	2076	288
878	2077	286
879	2080	283
880	2082	281
881	2083	278
882	2085	276
883	2087	273
884	2089	271
885	2091	269
886	2093	266
887	2095	264
888	2097	261
889	2098	259
890	2100	256
891	2101	254
892	2103	252
893	2105	249
894	2106	247
895	2108	244
896	2109	242
897	2111	239
898	2113	237
899	2114	234
900	2116	232
901	2118	230
902	2120	227
903	2122	225
904	2124	222
905	2126	220
906	2128	218
907	2129	215
908	2131	213
909	2133	211
910	2135	208
911	2137	206
912	2139	203
913	2141	201
914	2143	199
915	2145	196
916	2146	194
917	2148	191
918	2150	189
919	2152	187
920	2154	184
921	2158	182
922	2160	180
923	2161	177
924	2164	175
925	2166	173
926	2167	170
927	2169	168
928	2171	165
929	2173	163
930	2174	161
931	2176	158
932	2177	156
933	2180	154
934	2182	151
935	2184	149
936	2186	147
937	2188	144
938	2190	142
939	2191	139
940	2193	137
941	2194	135
942	2196	132
943	2199	130
944	2200	128
945	2204	125
946	2206	123
947	2207	121
948	2209	118
949	2211	116
950	2213	114
951	2215	111
952	2216	109
953	2218	106
954	2220	104
955	2222	102
956	2223	99
957	2224	97
958	2227	95
959	2228	92
960	2230	90
961	2231	88
962	2234	85
963	2235	83
964	2237	81
965	2238	78
966	2240	76
967	2243	74
968	2244	71
969	2246	69
970	2248	67
971	2250	64
972	2252	62
973	2253	60
974	2255	57
975	2256	55
976	2258	53
977	2260	50
978	2262	48
979	2263	46
980	2265	43
981	2267	41
982	2269	39
983	2270	36
984	2274	34
985	2276	32
986	2278	30
987	2281	27
988	2282	25
989	2284	23
990	2286	20
991	2287	18
992	2289	16
993	2291	13
994	2293	11
995	2294	9
996	2296	6
997	2298	4
998	2299	2
999	2301	0
